spacing,algorithm,total_distance,waypoints
21.6,spiral,847.4977166894619,16
21.7,spiral,821.0365310719717,13
21.8,spiral,815.1122165520405,17
21.9,spiral,821.491902476316,15
22.0,spiral,838.9625768052683,18
22.1,spiral,818.5190207711557,15
22.2,spiral,806.2970035386865,14
22.3,spiral,832.7383088887013,16
22.4,spiral,819.6819016065948,17
22.5,spiral,838.7547189670389,16
22.6,spiral,813.563706595658,13
22.7,spiral,787.3868702043613,16
22.8,spiral,783.9696256416481,14
22.9,spiral,837.4896285443546,16
23.0,spiral,837.9825047132298,13
23.1,spiral,802.9158403080994,16
23.2,spiral,798.4474558057591,14
23.3,spiral,830.8553534835355,13
23.4,spiral,783.833861483901,16
23.5,spiral,786.8736370630504,15
23.6,spiral,813.7832721349113,14
23.7,spiral,794.3317069446455,17
23.8,spiral,800.5800753066017,14
23.9,spiral,796.9743458181906,15
24.0,spiral,805.2430085450475,15
24.1,spiral,823.7579100181697,14
24.2,spiral,799.3164787374545,16
24.3,spiral,808.5456307892715,14
24.4,spiral,759.3264103781629,14
24.5,spiral,794.6332728468906,17
24.6,spiral,779.618603102208,13
24.7,spiral,772.1504337382856,11
24.8,spiral,777.580354169476,17
24.9,spiral,786.6765411195942,19
25.0,spiral,808.4862457624082,14
4.0,lawnmower,2008.4721456452087,65
4.1,lawnmower,2004.5150688762787,67
4.2,lawnmower,1964.6023256190426,65
4.3,lawnmower,1939.4930497406679,64
4.4,lawnmower,1939.146065597001,61
4.5,lawnmower,1904.0956420734117,63
4.6,lawnmower,1895.443614322768,62
4.7,lawnmower,1842.0162693937252,57
4.8,lawnmower,1808.581147766586,60
4.9,lawnmower,1796.339150193002,62
5.0,lawnmower,1784.8499358254244,57
5.1,lawnmower,1763.5314671690742,55
5.2,lawnmower,1719.0814693245634,55
5.3,lawnmower,1724.0739465759536,56
5.4,lawnmower,1709.0090110472224,50
5.5,lawnmower,1737.6222080234056,53
5.6,lawnmower,1708.2511779399192,51
5.7,lawnmower,1637.6719750940867,55
5.8,lawnmower,1633.5626775966027,50
5.9,lawnmower,1595.137939624277,53
6.0,lawnmower,1598.1858597207304,47
6.1,lawnmower,1602.3776738422987,50
6.2,lawnmower,1606.6977175790548,49
6.3,lawnmower,1554.9421327689374,46
6.4,lawnmower,1543.7920711986442,47
6.5,lawnmower,1501.6696040206116,49
6.6,lawnmower,1529.4739543163746,45
6.7,lawnmower,1499.945741613555,42
6.8,lawnmower,1499.4112114526786,45
6.9,lawnmower,1481.5932192192568,42
7.0,lawnmower,1486.6861774863773,43
7.1,lawnmower,1443.155291327797,43
7.2,lawnmower,1438.9924284255137,39
7.3,lawnmower,1501.2150792268671,39
7.4,lawnmower,1423.4407375637086,43
7.5,lawnmower,1418.0642884309073,40
7.6,lawnmower,1467.7909021453738,36
7.7,lawnmower,1480.4390057224705,42
7.8,lawnmower,1390.414821269647,41
7.9,lawnmower,1398.2046411174038,38
8.0,lawnmower,1404.3311110188101,37
8.1,lawnmower,1424.2035825177413,41
8.2,lawnmower,1362.2140779436304,39
8.3,lawnmower,1369.552274406459,43
8.4,lawnmower,1382.689608664092,39
8.5,lawnmower,1368.6953214893324,38
8.6,lawnmower,1345.5001343893514,37
8.7,lawnmower,1343.5304372614034,39
8.8,lawnmower,1312.047538378055,38
8.9,lawnmower,1328.2702329856752,39
9.0,lawnmower,1321.3389168664874,35
9.1,lawnmower,1325.0829582320855,35
9.2,lawnmower,1303.2412817105762,35
9.3,lawnmower,1317.8178672250965,37
9.4,lawnmower,1322.8075078457584,38
9.5,lawnmower,1299.9506918165273,34
9.6,lawnmower,1298.285128167984,34
9.7,lawnmower,1286.836302827846,35
9.8,lawnmower,1280.4098511271343,33
9.9,lawnmower,1260.720354480658,36
10.0,lawnmower,1276.3298852334663,29
10.1,lawnmower,1263.0047630812353,32
10.2,lawnmower,1301.8633661786118,31
10.3,lawnmower,1286.612729117466,28
10.4,lawnmower,1258.1015464357451,31
10.5,lawnmower,1230.4531415203903,31
10.6,lawnmower,1218.8838460320296,32
10.7,lawnmower,1260.4583730804688,34
10.8,lawnmower,1237.477206725165,31
10.9,lawnmower,1237.4927763247128,29
11.0,lawnmower,1188.7446438968796,31
11.1,lawnmower,1238.0082290906232,33
11.2,lawnmower,1224.4455496214302,29
11.3,lawnmower,1189.118819940029,29
11.4,lawnmower,1197.9379249036326,32
11.5,lawnmower,1208.7526049566957,30
11.6,lawnmower,1200.7045083809178,32
11.7,lawnmower,1190.054012181365,30
11.8,lawnmower,1190.1336244691893,31
11.9,lawnmower,1183.5318810072906,28
12.0,lawnmower,1188.0512502420493,30
12.1,lawnmower,1210.9174427656483,29
12.2,lawnmower,1126.6996180666201,27
12.3,lawnmower,1169.8971410512695,26
12.4,lawnmower,1174.820571008094,30
12.5,lawnmower,1173.919879793742,28
12.6,lawnmower,1157.323613135479,27
12.7,lawnmower,1126.4403675000347,28
12.8,lawnmower,1164.9974096742822,31
12.9,lawnmower,1189.895841492586,24
13.0,lawnmower,1121.6304642093696,25
13.1,lawnmower,1166.5895373732003,26
13.2,lawnmower,1139.7931319011786,31
13.3,lawnmower,1142.2321596999643,28
13.4,lawnmower,1119.539044711294,29
13.5,lawnmower,1131.0886543306603,25
